Position,Clean sheets,Goals conceded,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Recoveries,Successful 50/50s,Own goals,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Goals per match,Shots,Shooting accuracy %,Saves,Penalties saved,age,value_eur,overall,Arial Saves,Duels %,Aerial battles %
Midfielder,0.0,0.0,4.0,100,0.0,1.0,0.0,9.0,4.0,0.0,0,41,10.25,0.0,2.0,50,0.0,1.0,0,0,1,1.0,0,0.0,2.0,50,0.0,0.0,21,4400000,72,0.0,46.15384615384615,25.0
Defender,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,22,10500000,77,0.0,0.0,0.0
Forward,0.0,0.0,10.0,0,11.0,1.0,19.0,0.0,0.0,0.0,1,300,9.68,3.0,13.0,0,0.0,0.0,0,0,15,9.0,5,0.16,42.0,36,0.0,0.0,19,7500000,73,0.0,0.0,0.0
Midfielder,0.0,0.0,9.0,56,3.0,9.0,14.0,40.0,12.0,0.0,0,246,22.36,3.0,30.0,27,3.0,23.0,2,1,8,0.0,0,0.0,10.0,30,0.0,0.0,31,4800000,74,0.0,55.38461538461539,58.333333333333336
Midfielder,0.0,0.0,22.0,59,5.0,14.0,0.0,58.0,6.0,0.0,1,433,36.08,1.0,4.0,0,3.0,19.0,3,0,9,0.0,0,0.0,11.0,18,0.0,0.0,28,0,83,0.0,40.869565217391305,36.666666666666664
Midfielder,0.0,0.0,3.0,100,0.0,1.0,2.0,15.0,1.0,0.0,0,81,13.5,0.0,0.0,0,0.0,4.0,1,0,1,0.0,0,0.0,0.0,0,0.0,0.0,31,9000000,78,0.0,44.44444444444444,0.0
Forward,0.0,0.0,4.0,0,4.0,0.0,11.0,0.0,0.0,0.0,0,152,8.94,0.0,2.0,0,0.0,0.0,0,0,9,4.0,0,0.0,8.0,38,0.0,0.0,24,7500000,74,0.0,0.0,0.0
Midfielder,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,21,1300000,68,0.0,0.0,0.0
Defender,6.0,59.0,53.0,60,2.0,48.0,366.0,178.0,10.0,0.0,3,1589,41.82,2.0,5.0,20,0.0,86.0,5,0,27,2.0,2,0.0,0.0,0,0.0,0.0,22,9500000,75,0.0,56.88073394495413,53.2994923857868
Forward,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,21,775000,64,0.0,0.0,0.0
Defender,6.0,19.0,35.0,74,7.0,12.0,55.0,69.0,6.0,0.0,0,783,48.94,0.0,51.0,20,1.0,35.0,1,0,8,0.0,0,0.0,0.0,0,0.0,0.0,32,450000,67,0.0,58.97435897435897,37.03703703703704
Midfielder,0.0,0.0,52.0,63,11.0,27.0,36.0,172.0,52.0,0.0,7,1005,29.56,8.0,217.0,18,11.0,76.0,5,1,20,2.0,2,0.06,20.0,30,0.0,0.0,27,9500000,77,0.0,48.122866894197955,42.30769230769231
Defender,5.0,13.0,19.0,68,1.0,4.0,81.0,57.0,6.0,0.0,0,915,65.36,0.0,7.0,29,1.0,111.0,3,0,8,0.0,0,0.0,0.0,0,0.0,0.0,28,40500000,86,0.0,47.05882352941177,32.55813953488372
